month,price,product
2006-06-01,3.12,Standard
2006-07-01,3.15,Standard
2006-08-01,3.15,Standard
2006-09-01,3.04,Standard
2006-01-01,3.12,Standard
2006-11-01,3.12,Standard
2006-12-01,3.17,Standard
2007-01-01,3.09,Standard
2007-02-01,3.23,Standard
2007-03-01,3.19,Standard
2007-04-01,3.14,Standard
2007-05-01,3.23,Standard
2007-06-01,3.12,Standard
2007-07-01,3.26,Standard
2007-08-01,3.05,Standard
2007-09-01,3.19,Standard
2007-01-01,3.27,Standard
2007-11-01,3.31,Standard
2007-12-01,3.28,Standard
2008-01-01,3.26,Standard
2008-02-01,3.23,Standard
2008-03-01,3.34,Standard
2008-04-01,3.6,Standard
2008-05-01,3.6,Standard
2008-06-01,3.52,Standard
2008-07-01,3.46,Standard
2008-08-01,3.62,Standard
2008-09-01,3.64,Standard
2008-01-01,3.55,Standard
2008-11-01,3.7,Standard
2008-12-01,3.64,Standard
2009-01-01,3.67,Standard
2009-02-01,3.61,Standard
2009-03-01,3.38,Standard
2009-04-01,3.37,Standard
2009-05-01,3.34,Standard
2009-06-01,3.21,Standard
2009-07-01,3.33,Standard
2009-08-01,3.27,Standard
2009-09-01,3.23,Standard
2009-01-01,3.21,Standard
2009-11-01,3.28,Standard
2009-12-01,3.34,Standard
2010-01-01,3.35,Standard
2010-02-01,3.43,Standard
2010-03-01,3.34,Standard
2010-04-01,3.39,Standard
2010-05-01,3.36,Standard
2010-06-01,3.3,Standard
2010-07-01,3.21,Standard
2010-08-01,3.36,Standard
2010-09-01,3.35,Standard
2010-01-01,3.39,Standard
2010-11-01,3.41,Standard
2010-12-01,3.32,Standard
2011-01-01,3.36,Standard
2011-02-01,3.36,Standard
2011-03-01,3.43,Standard
2011-04-01,3.42,Standard
2011-05-01,3.43,Standard
2011-06-01,3.44,Standard
2011-07-01,3.45,Standard
2011-08-01,3.4,Standard
2011-09-01,3.45,Standard
2011-01-01,3.44,Standard
2011-11-01,3.39,Standard
2011-12-01,3.43,Standard
2012-01-01,3.44,Standard
2012-02-01,3.45,Standard
2012-03-01,3.42,Standard
2012-04-01,3.4,Standard
2012-05-01,3.44,Standard
2012-06-01,3.51,Standard
2012-07-01,3.53,Standard
2012-08-01,3.45,Standard
2012-09-01,3.43,Standard
2012-01-01,3.51,Standard
2012-11-01,3.43,Standard
2012-12-01,3.48,Standard
2013-01-01,3.5,Standard
2013-02-01,3.46,Standard
2013-03-01,3.44,Standard
2013-04-01,3.51,Standard
2013-05-01,3.55,Standard
2013-06-01,3.63,Standard
2013-07-01,3.69,Standard
2013-08-01,3.7,Standard
2013-09-01,3.66,Standard
2013-01-01,3.77,Standard
2013-11-01,3.78,Standard
2013-12-01,3.76,Standard
2014-01-01,3.59,Standard
2014-02-01,3.71,Standard
2014-03-01,3.69,Standard
2014-04-01,3.7,Standard
2014-05-01,3.78,Standard
2014-06-01,3.74,Standard
2014-07-01,3.77,Standard
2014-08-01,3.69,Standard
2014-09-01,3.76,Standard
2014-01-01,3.81,Standard
2014-11-01,3.84,Standard
2014-12-01,3.86,Standard
2015-01-01,3.78,Standard
2015-02-01,3.79,Standard
2015-03-01,3.64,Standard
2015-04-01,3.71,Standard
2015-05-01,3.87,Standard
2015-06-01,3.83,Standard
2015-07-01,3.81,Standard
2015-08-01,3.77,Standard
2015-09-01,3.74,Standard
2015-01-01,3.76,Standard
2015-11-01,3.82,Standard
2015-12-01,3.64,Standard
2016-01-01,3.77,Standard
2016-02-01,3.72,Standard
2016-03-01,3.75,Standard
2016-04-01,3.8,Standard
2016-05-01,3.78,Standard
2016-06-01,3.8,Standard
2016-07-01,3.77,Standard
2016-08-01,3.82,Standard
2016-09-01,3.88,Standard
2016-01-01,3.94,Standard
2016-11-01,3.73,Standard
2016-12-01,3.8,Standard
2017-01-01,3.8,Standard
2017-02-01,3.85,Standard
2017-03-01,3.87,Standard
2017-04-01,3.9,Standard
2017-05-01,3.93,Standard
2017-06-01,3.83,Standard
2017-07-01,3.76,Standard
2017-08-01,3.74,Standard
2017-09-01,3.77,Standard
2017-01-01,3.9,Standard
2017-11-01,3.89,Standard
2017-12-01,3.81,Standard
2018-01-01,3.9,Standard
2018-02-01,3.91,Standard
2018-03-01,3.9,Standard
2018-04-01,3.89,Standard
2018-05-01,3.88,Standard
2018-06-01,3.8,Standard
2018-07-01,3.86,Standard
2018-08-01,4,Standard
2018-09-01,4.14,Standard
2018-01-01,4.18,Standard
2018-11-01,4.18,Standard
2018-12-01,4.25,Standard
2019-01-01,4.19,Standard
2019-02-01,4.3,Standard
2019-03-01,4.32,Standard
2019-04-01,4.43,Standard
2019-05-01,4.51,Standard
2019-06-01,4.63,Standard
2019-07-01,4.51,Standard
2019-08-01,4.61,Standard
2019-09-01,4.44,Standard
2019-01-01,4.42,Standard
2019-11-01,4.39,Standard
2019-12-01,4.39,Standard
2020-01-01,4.48,Standard
2020-02-01,4.53,Standard
2020-03-01,4.48,Standard
2020-04-01,4.78,Standard
2020-05-01,4.64,Standard
2020-06-01,4.31,Standard
2020-07-01,4.34,Standard
2020-08-01,4.57,Standard
2020-09-01,4.42,Standard
2020-01-01,4.46,Standard
2020-11-01,4.21,Standard
2020-12-01,4.32,Standard
2021-01-01,4.22,Standard
2021-02-01,4.3,Standard
2021-03-01,4.46,Standard
2021-04-01,4.48,Standard
2021-05-01,4.62,Standard
2021-06-01,4.66,Standard
2021-07-01,4.81,Standard
2021-08-01,4.65,Standard
2021-09-01,5.22,Standard
2021-01-01,4.98,Standard
2021-11-01,5.13,Standard
2021-12-01,5.07,Standard
2022-01-01,5.09,Standard
2022-02-01,5.15,Standard
2022-03-01,4.93,Standard
2022-04-01,5.01,Standard
2022-05-01,4.86,Standard
2022-06-01,5.13,Standard
2022-07-01,5.34,Standard
2022-08-01,5.85,Standard
2022-09-01,5.85,Standard
2022-01-01,6.28,Standard
2022-11-01,5.93,Standard
2022-12-01,6.68,Standard
2023-01-01,7.04,Standard
2023-02-01,7.84,Standard
2023-03-01,8.36,Standard
2023-04-01,8.44,Standard
2023-05-01,8.58,Standard
2023-06-01,8.58,Standard
2023-07-01,9.5,Standard
2023-08-01,9.31,Standard
2023-09-01,9.19,Standard
2023-01-01,9.08,Standard
2023-11-01,9.3,Standard
2023-12-01,9.28,Standard
2024-01-01,9.54,Standard
2024-02-01,9.33,Standard
2024-03-01,9.28,Standard
2024-04-01,9.17,Standard
2024-05-01,8.89,Standard
2024-06-01,9.41,Standard
2024-07-01,8.65,Standard
2024-08-01,8.92,Standard
2024-09-01,8.86,Standard
2024-01-01,8.34,Standard
2024-11-01,8.38,Standard
2024-12-01,8.37,Standard
2025-01-01,8.89,Standard
2025-02-01,9.35,Standard
2025-03-01,9.28,Standard
2025-04-01,9.52,Standard
2025-05-01,9.67,Standard
2025-06-01,10.01,Standard
2025-07-01,10.05,Standard
2025-08-01,10.16,Standard
2025-09-01,10.14,Standard
2025-01-01,9.88,Standard
2025-11-01,9.38,Standard
2025-12-01,8.96,Standard
2026-01-01,8.86,Standard
2026-02-01,8.77,Standard
2026-03-01,8.8,Standard
2026-04-01,8.75,Standard
2026-05-01,8.98,Standard
2008-07-01,6.699999999999999,Free range
2008-08-01,6.716666666666668,Free range
2008-09-01,6.766666666666666,Free range
2008-01-01,6.75,Free range
2008-11-01,6.716666666666668,Free range
2008-12-01,6.733333333333333,Free range
2009-01-01,6.8,Free range
2009-02-01,6.8,Free range
2009-03-01,6.816666666666666,Free range
2009-04-01,6.766666666666666,Free range
2009-05-01,6.8,Free range
2009-06-01,6.8,Free range
2009-07-01,6.683333333333333,Free range
2009-08-01,6.766666666666666,Free range
2009-09-01,6.666666666666667,Free range
2009-01-01,6.683333333333333,Free range
2009-11-01,6.733333333333333,Free range
2009-12-01,6.733333333333333,Free range
2010-01-01,6.716666666666668,Free range
2010-02-01,6.666666666666667,Free range
2010-03-01,6.733333333333333,Free range
2010-04-01,6.666666666666667,Free range
2010-05-01,6.699999999999999,Free range
2010-06-01,6.75,Free range
2010-07-01,6.866666666666667,Free range
2010-08-01,6.8999999999999995,Free range
2010-09-01,6.8500000000000005,Free range
2010-01-01,6.966666666666666,Free range
2010-11-01,6.916666666666667,Free range
2010-12-01,6.983333333333334,Free range
2011-01-01,6.866666666666667,Free range
2011-02-01,7.016666666666667,Free range
2011-03-01,6.916666666666667,Free range
2011-04-01,7,Free range
2011-05-01,6.716666666666668,Free range
2011-06-01,6.866666666666667,Free range
2011-07-01,7.216666666666666,Free range
2011-08-01,7.433333333333334,Free range
2011-09-01,7.416666666666667,Free range
2011-01-01,7.316666666666666,Free range
2011-11-01,7.366666666666667,Free range
2011-12-01,7.366666666666667,Free range
2012-01-01,7.366666666666667,Free range
2012-02-01,7.5,Free range
2012-03-01,7.416666666666667,Free range
2012-04-01,7.616666666666667,Free range
2012-05-01,7.833333333333333,Free range
2012-06-01,7.816666666666667,Free range
2012-07-01,7.933333333333333,Free range
2012-08-01,7.883333333333334,Free range
2012-09-01,7.966666666666668,Free range
2012-01-01,7.783333333333334,Free range
2012-11-01,7.816666666666667,Free range
2012-12-01,7.833333333333333,Free range
2013-01-01,7.866666666666666,Free range
2013-02-01,7.833333333333333,Free range
2013-03-01,7.766666666666667,Free range
2013-04-01,7.75,Free range
2013-05-01,7.866666666666666,Free range
2013-06-01,7.8500000000000005,Free range
2013-07-01,7.983333333333333,Free range
2013-08-01,7.966666666666668,Free range
2013-09-01,7.933333333333333,Free range
2013-01-01,7.900000000000001,Free range
2013-11-01,7.933333333333333,Free range
2013-12-01,7.983333333333333,Free range
2014-01-01,7.983333333333333,Free range
2014-02-01,7.949999999999999,Free range
2014-03-01,7.983333333333333,Free range
2014-04-01,8.183333333333334,Free range
2014-05-01,8.200000000000001,Free range
2014-06-01,8.183333333333334,Free range
2014-07-01,8.049999999999999,Free range
2014-08-01,8.016666666666666,Free range
2014-09-01,8.216666666666667,Free range
2014-01-01,8.200000000000001,Free range
2014-11-01,8.216666666666667,Free range
2014-12-01,8.316666666666668,Free range
2015-01-01,8.333333333333334,Free range
2015-02-01,8.25,Free range
2015-03-01,8.233333333333334,Free range
2015-04-01,8.183333333333334,Free range
2015-05-01,8.116666666666667,Free range
2015-06-01,8.183333333333334,Free range
2015-07-01,8.216666666666667,Free range
2015-08-01,8.166666666666666,Free range
2015-09-01,8.183333333333334,Free range
2015-01-01,8.049999999999999,Free range
2015-11-01,8.083333333333334,Free range
2015-12-01,8.066666666666666,Free range
2016-01-01,8.283333333333333,Free range
2016-02-01,8.133333333333333,Free range
2016-03-01,7.966666666666668,Free range
2016-04-01,8.183333333333334,Free range
2016-05-01,8.066666666666666,Free range
2016-06-01,8.166666666666666,Free range
2016-07-01,8.233333333333334,Free range
2016-08-01,8.116666666666667,Free range
2016-09-01,8.200000000000001,Free range
2016-01-01,8.216666666666667,Free range
2016-11-01,8.183333333333334,Free range
2016-12-01,8.200000000000001,Free range
2017-01-01,8.25,Free range
2017-02-01,8.166666666666666,Free range
2017-03-01,8.3,Free range
2017-04-01,8.049999999999999,Free range
2017-05-01,8.216666666666667,Free range
2017-06-01,8.200000000000001,Free range
2017-07-01,8.1,Free range
2017-08-01,8.333333333333334,Free range
2017-09-01,8.15,Free range
2017-01-01,8.283333333333333,Free range
2017-11-01,8.083333333333334,Free range
2017-12-01,8.116666666666667,Free range
2018-01-01,8.3,Free range
2018-02-01,8.233333333333334,Free range
2018-03-01,8.333333333333334,Free range
2018-04-01,8.35,Free range
2018-05-01,8.316666666666668,Free range
2018-06-01,8.25,Free range
2018-07-01,8.366666666666665,Free range
2018-08-01,8.450000000000001,Free range
2018-09-01,8.433333333333332,Free range
2018-01-01,8.516666666666667,Free range
2018-11-01,8.6,Free range
2018-12-01,8.633333333333333,Free range
2019-01-01,8.416666666666666,Free range
2019-02-01,8.65,Free range
2019-03-01,8.633333333333333,Free range
2019-04-01,8.633333333333333,Free range
2019-05-01,8.766666666666666,Free range
2019-06-01,8.75,Free range
2019-07-01,8.8,Free range
2019-08-01,8.833333333333334,Free range
2019-09-01,8.733333333333334,Free range
2019-01-01,8.516666666666667,Free range
2019-11-01,8.65,Free range
2019-12-01,8.483333333333333,Free range
2020-01-01,8.566666666666666,Free range
2020-02-01,8.383333333333335,Free range
2020-03-01,8.5,Free range
2020-04-01,8.6,Free range
2020-05-01,8.583333333333334,Free range
2020-06-01,8.450000000000001,Free range
2020-07-01,8.466666666666667,Free range
2020-08-01,8.316666666666668,Free range
2020-09-01,8.549999999999999,Free range
2020-01-01,8.283333333333333,Free range
2020-11-01,8.333333333333334,Free range
2020-12-01,8.516666666666667,Free range
2021-01-01,8.183333333333334,Free range
2021-02-01,8.25,Free range
2021-03-01,8.233333333333334,Free range
2021-04-01,8.266666666666667,Free range
2021-05-01,8.049999999999999,Free range
2021-06-01,8.183333333333334,Free range
2021-07-01,8.283333333333333,Free range
2021-08-01,8.316666666666668,Free range
2021-09-01,8.433333333333332,Free range
2021-01-01,8.5,Free range
2021-11-01,8.4,Free range
2021-12-01,8.333333333333334,Free range
2022-01-01,8.416666666666666,Free range
2022-02-01,8.433333333333332,Free range
2022-03-01,8.416666666666666,Free range
2022-04-01,8.583333333333334,Free range
2022-05-01,8.8,Free range
2022-06-01,8.833333333333334,Free range
2022-07-01,8.766666666666666,Free range
2022-08-01,8.716666666666667,Free range
2022-09-01,9.216666666666667,Free range
2022-01-01,9.4,Free range
2022-11-01,9.75,Free range
2022-12-01,9.983333333333334,Free range
2023-01-01,10.183333333333334,Free range
2023-02-01,10.733333333333334,Free range
2023-03-01,11.65,Free range
2023-04-01,11.883333333333333,Free range
2023-05-01,12.066666666666668,Free range
2023-06-01,12.183333333333332,Free range
2023-07-01,12.216666666666667,Free range
2023-08-01,12.233333333333334,Free range
2023-09-01,12.316666666666665,Free range
2023-01-01,12.166666666666666,Free range
2023-11-01,12.333333333333334,Free range
2023-12-01,12.5,Free range
2024-01-01,12.633333333333333,Free range
2024-02-01,12.816666666666668,Free range
2024-03-01,12.933333333333332,Free range
2024-04-01,12.799999999999999,Free range
2024-05-01,12.450000000000001,Free range
2024-06-01,12.466666666666669,Free range
2024-07-01,12.4,Free range
2024-08-01,12.333333333333334,Free range
2024-09-01,11.616666666666667,Free range
2024-01-01,11.416666666666666,Free range
2024-11-01,11.366666666666667,Free range
2024-12-01,11.666666666666666,Free range
2025-01-01,11.983333333333334,Free range
2025-02-01,12.583333333333334,Free range
2025-03-01,12.6,Free range
2025-04-01,12.833333333333334,Free range
2025-05-01,13.083333333333334,Free range
2025-06-01,13.100000000000001,Free range
2025-07-01,12.916666666666666,Free range
2025-08-01,13.016666666666666,Free range
2025-09-01,12.799999999999999,Free range
2025-01-01,12.983333333333334,Free range
2025-11-01,12.200000000000001,Free range
2025-12-01,12.066666666666668,Free range
2026-01-01,12.1,Free range
2026-02-01,12.050000000000002,Free range
2026-03-01,11.183333333333332,Free range
2026-04-01,11.566666666666668,Free range
2026-05-01,12.299999999999999,Free range
